Time	bounds_k1 (1)	bounds_ub_R1 (1)	C (1)	model_C (1)	model_D (1)	ub_R1 (1)	update_C (1)	update_R3 (1)	vR3 (1)
18.3	-0.2	0.1588174261	2.723223155	2.723223155	4.40210526	0.1588174261	2.723223155	0.1	0.162025751
18.4	-0.2	0.1588174261	2.696582272	2.696582272	4.42900518	0.1588174261	2.696582272	0.1	0.158817426
18.5	-0.2	0.1556726304	2.675087409	2.675087409	4.45614561	0.1556726304	2.675087409	0.1	0.158817426
18.6	-0.2	0.1556726304	2.701063209	2.701063209	4.483570277	0.1556726304	2.701063209	0.1	0.15567263
18.7	-0.2	0.1525901058	2.674320892	2.674320892	4.510170476	0.1525901058	2.674320892	0.1	0.15567263
18.8	-0.2	0.1525901058	2.653251655	2.653251655	4.537169516	0.1525901058	2.653251655	0.1	0.152590106
18.9	-0.2	0.1495686192	2.678096595	2.678096595	4.564271616	0.1495686192	2.678096595	0.1	0.152590106
19	-0.2	0.1495686192	2.651883811	2.651883811	4.590741122	0.1495686192	2.651883811	0.1	0.149568619
19.1	-0.2	0.1466069621	2.630627476	2.630627476	4.617413816	0.1466069621	2.630627476	0.1	0.149568619
19.2	-0.2	0.1466069621	2.654980454	2.654980454	4.644375285	0.1466069621	2.654980454	0.1	0.146606962
19.3	-0.2	0.1437039498	2.628694386	2.628694386	4.670516965	0.1437039498	2.628694386	0.1	0.146606962
19.4	-0.2	0.1437039498	2.607858954	2.607858954	4.697057531	0.1437039498	2.607858954	0.1	0.14370395
19.5	-0.2	0.1408584209	2.631149108	2.631149108	4.723669703	0.1408584209	2.631149108	0.1	0.14370395
19.6	-0.2	0.1408584209	2.60538354	2.60538354	4.749689769	0.1408584209	2.60538354	0.1	0.140858421
19.7	-0.2	0.1380692373	2.584391571	2.584391571	4.775877876	0.1380692373	2.584391571	0.1	0.140858421
19.8	-0.2	0.1380692373	2.607220549	2.607220549	4.802359118	0.1380692373	2.607220549	0.1	0.138069237
19.9	-0.2	0.1353352832	2.581407336	2.581407336	4.828025763	0.1353352832	2.581407336	0.1	0.138069237
20	-0.2	0.1353352832	2.560831037	2.560831037	4.854091337	0.1353352832	2.560831037	0.1	0.135335283
20.1	-0.2	0.1326554651	2.58266118	2.58266118	4.88019898	0.1326554651	2.58266118	0.1	0.135335283
20.2	-0.2	0.1326554651	2.557359103	2.557359103	4.905753418	0.1326554651	2.557359103	0.1	0.132655465
20.3	-0.2	0.1300287109	2.536654278	2.536654278	4.931442795	0.1300287109	2.536654278	0.1	0.132655465
20.4	-0.2	0.1300287109	2.558052155	2.558052155	4.957429499	0.1300287109	2.558052155	0.1	0.130028711
20.5	-0.2	0.1274539699	2.532725742	2.532725742	4.982607249	0.1274539699	2.532725742	0.1	0.130028711
20.6	-0.2	0.1274539699	2.5124309	2.5124309	5.00818397	0.1274539699	2.5124309	0.1	0.12745397
20.7	-0.2	0.1249302122	2.532890123	2.532890123	5.033775024	0.1249302122	2.532890123	0.1	0.12745397
20.8	-0.2	0.1249302122	2.508065206	2.508065206	5.058850248	0.1249302122	2.508065206	0.1	0.124930212
20.9	-0.2	0.1224564283	2.487667478	2.487667478	5.084029241	0.1224564283	2.487667478	0.1	0.124930212
21	-0.2	0.1224564283	2.507721581	2.507721581	5.109509584	0.1224564283	2.507721581	0.1	0.122456428
21.1	-0.2	0.1200316285	2.482893473	2.482893473	5.134187016	0.1200316285	2.482893473	0.1	0.122456428
21.2	-0.2	0.1200316285	2.462899647	2.462899647	5.159263457	0.1200316285	2.462899647	0.1	0.120031629
21.3	-0.2	0.117654843	2.482071692	2.482071692	5.18432819	0.117654843	2.482071692	0.1	0.120031629
21.4	-0.2	0.117654843	2.457735214	2.457735214	5.208913002	0.117654843	2.457735214	0.1	0.117654843
21.5	-0.2	0.115325121	2.437661935	2.437661935	5.233572228	0.115325121	2.437661935	0.1	0.117654843
21.6	-0.2	0.115325121	2.456454348	2.456454348	5.258536672	0.115325121	2.456454348	0.1	0.115325121
21.7	-0.2	0.1130415306	2.43213382	2.43213382	5.28270459	0.1130415306	2.43213382	0.1	0.115325121
21.8	-0.2	0.1130415306	2.412458019	2.412458019	5.307271557	0.1130415306	2.412458019	0.1	0.113041531
21.9	-0.2	0.1108031584	2.430421599	2.430421599	5.331802363	0.1108031584	2.430421599	0.1	0.113041531
22	-0.2	0.1108031584	2.40658265	2.40658265	5.355887751	0.1108031584	2.40658265	0.1	0.110803158
22.1	-0.2	0.1086091088	2.386848781	2.386848781	5.380019907	0.1086091088	2.386848781	0.1	0.110803158
22.2	-0.2	0.1086091088	2.404456659	2.404456659	5.404460998	0.1086091088	2.404456659	0.1	0.108609109
22.3	-0.2	0.1064585044	2.380650943	2.380650943	5.428112246	0.1064585044	2.380650943	0.1	0.108609109
22.4	-0.2	0.1064585044	2.36130783	2.36130783	5.45216258	0.1064585044	2.36130783	0.1	0.106458504
22.5	-0.2	0.1043504848	2.378136928	2.378136928	5.476153799	0.1043504848	2.378136928	0.1	0.106458504
22.6	-0.2	0.1043504848	2.354802596	2.354802596	5.499732748	0.1043504848	2.354802596	0.1	0.104350485
22.7	-0.2	0.1022842067	2.3354209	2.3354209	5.523332431	0.1022842067	2.3354209	0.1	0.104350485
22.8	-0.2	0.1022842067	2.351916759	2.351916759	5.547244618	0.1022842067	2.351916759	0.1	0.102284207
22.9	-0.2	0.1002588437	2.328631222	2.328631222	5.570373902	0.1002588437	2.328631222	0.1	0.102284207
23	-0.2	0.1002588437	2.309633309	2.309633309	5.593902306	0.1002588437	2.309633309	0.1	0.100258844
23.1	-0.2	0.0982735856	2.325397455	2.325397455	5.617350046	0.0982735856	2.325397455	0.1	0.100258844
23.2	-0.2	0.0982735856	2.302573004	2.302573004	5.640417366	0.0982735856	2.302573004	0.1	0.098273586
23.3	-0.2	0.09632763823	2.283554222	2.283554222	5.663480902	0.09632763823	2.283554222	0.1	0.098273586
23.4	-0.2	0.09632763823	2.299006218	2.299006218	5.686860372	0.09632763823	2.299006218	0.1	0.096327638
23.5	-0.2	0.0944202232	2.276244531	2.276244531	5.709464091	0.0944202232	2.276244531	0.1	0.096327638
23.6	-0.2	0.0944202232	2.257602347	2.257602347	5.732466965	0.0944202232	2.257602347	0.1	0.094420223
23.7	-0.2	0.09255057751	2.272366889	2.272366889	5.755368948	0.09255057751	2.272366889	0.1	0.094420223
