	compartments	constraints	events	events_delay	events_event_assignments	events_math	events_priority	events_trigger	function_definitions	initial_assignments	kinetic_laws	kinetic_laws_math	level_version	math	parameters	parameters_local	reactions	rules	rules_algebraic_rules	rules_assignment_rules	rules_rate_rules	species	unit_definitions	release	date	status
MODEL0913003363	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	11	32	0	0	11	0	7	4	0	7	R16	2010-01-26	non_curated
MODEL0913049417	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	102	146	0	0	102	0	81	21	0	18	R16	2010-01-26	non_curated
MODEL0913095435	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	106	211	0	0	106	0	84	22	0	19	R16	2010-01-26	non_curated
MODEL0913145131	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	66	100	0	0	66	0	52	14	0	19	R16	2010-01-26	non_curated
MODEL0913194523	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	37	69	0	0	37	0	24	13	0	15	R16	2010-01-26	non_curated
MODEL0913242281	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	19	42	0	0	19	0	6	13	0	3	R16	2010-01-26	non_curated
MODEL0913285268	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	28	97	0	0	28	0	9	19	0	3	R16	2010-01-26	non_curated
MODEL0975191032	1	0	0	0	0	0	0	0	0	0	133	133	L2V3	133	0	219	133	0	0	0	0	116	4	R16	2010-01-26	non_curated
MODEL0995500644	1	0	0	0	0	0	0	0	0	0	13	13	L2V1	13	0	41	13	0	0	0	0	12	0	R16	2010-01-26	non_curated
MODEL1001120000	1	0	0	0	0	0	0	0	0	0	42	42	L2V4	42	25	0	42	0	0	0	0	33	0	R16	2010-01-26	non_curated
MODEL1150151512	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	114	186	0	0	114	0	73	41	0	21	R16	2010-01-26	non_curated
MODEL1172200168	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	3	14	0	0	3	0	0	3	0	11	R16	2010-01-26	non_curated
MODEL1172425728	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	64	109	0	0	64	0	35	29	0	7	R16	2010-01-26	non_curated
MODEL1172501439	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	18	35	0	0	18	0	1	17	0	7	R16	2010-01-26	non_curated
MODEL1172940336	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	14	26	0	0	14	0	9	5	0	2	R16	2010-01-26	non_curated
MODEL1173105855	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	13	28	0	0	13	0	9	4	0	4	R16	2010-01-26	non_curated
MODEL1949107276	3	0	0	0	0	0	0	0	0	0	0	0	L2V3	0	0	0	996	0	0	0	0	828	0	R16	2010-01-26	non_curated
MODEL2021729243	1	0	0	0	0	0	0	0	0	0	0	0	L2V1	0	0	0	2824	0	0	0	0	2715	0	R16	2010-01-26	non_curated
MODEL2021747594	1	0	0	0	0	0	0	0	0	0	0	0	L2V1	0	0	0	2824	0	0	0	0	2715	0	R16	2010-01-26	non_curated
