time	[Ac]	[Glcxt]	[O2]	[X]	[dummy_S]	dummy_vAc	dummy_vGlcxt	dummy_vO2	dummy_vX	fba__v1	fba__v2	fba__v3	fba__v4	update__update_Ac	update__update_Glcxt	update__update_O2	update__update_X	bounds__Km_vGlcxt	bounds__Vmax_vGlcxt	bounds__dt	bounds__lb_def_vAc	bounds__lb_def_vGlcxt	bounds__lb_def_vO2	bounds__lb_def_vX	bounds__ub_def_vAc	bounds__ub_def_vGlcxt	bounds__ub_def_vO2	bounds__ub_def_vX	bounds__ub_kin_vGlcxt	dt	fba__lb	fba__lb_irrev	fba__ub	lb_vAc	lb_vGlcxt	lb_vO2	lb_vX	ub_vAc	ub_vGlcxt	ub_vO2	ub_vX	update__Km_vFBA	update__Y	vAc	vGlcxt	vO2	vX
3.0	0.381823266061	10.780928469	0.19262083885	0.0201068798838	0.0	0.0	0.0	0.0	0.0	0.055530166215	0.0	0.0	0.180656308074	0.0191060976204	0.0200696481218	0.0182155431745	0.0201068798838	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.9791588097	0.1	-1000.0	0.0	1000.0	0.0	0.0	-1.9262083885	0.0	3.81823266061	14.9791588097	1.9262083885	0.201068798838	0.02	0.0201068798838	0.0	3.47402080426	1.94355581753	0.236186474289
3.1	0.379813382277	10.7788169437	0.190705294362	0.0222223227229	0.0	0.0	0.0	0.0	0.0	0.0550345253858	0.0	0.0	0.179043839601	0.0211106879599	0.022181165765	0.0201129953052	0.0222223227229	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.9791547326	0.1	-1000.0	0.0	1000.0	0.0	0.0	-1.90705294362	0.0	3.79813382277	14.9791547326	1.90705294362	0.222223227229	0.02	0.0222223227229	0.0	3.44301303553	1.9262083885	0.234078364987
3.2	0.377592658718	10.7764832665	0.188590341453	0.0245603305169	0.0	0.0	0.0	0.0	0.0	0.0544872269606	0.0	0.0	0.177263313453	0.0233248786051	0.0245148336085	0.0222054438673	0.0245603305169	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.9791502248	0.1	-1000.0	0.0	1000.0	0.0	0.0	-1.88590341453	0.0	3.77592658718	14.9791502248	1.88590341453	0.245603305169	0.02	0.0245603305169	0.0	3.40877351771	1.90705294362	0.231750540414
3.3	0.375139058677	10.7739040653	0.186255521697	0.0271443190308	0.0	0.0	0.0	0.0	0.0	0.0538829547008	0.0	0.0	0.175297434311	0.0257704068125	0.0270940233845	0.0245122131063	0.0271443190308	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.9791452405	0.1	-1000.0	0.0	1000.0	0.0	0.0	-1.86255521697	0.0	3.75139058677	14.9791452405	1.86255521697	0.271443190308	0.02	0.0271443190308	0.0	3.37096966181	1.88590341453	0.229180389012
3.4	0.372428262381	10.7710535091	0.183678359387	0.0300001674887	0.0	0.0	0.0	0.0	0.0	0.0532158633419	0.0	0.0	0.173127185773	0.0284712170861	0.0299445655636	0.027054329985	0.0300001674887	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.9791397289	0.1	-1000.0	0.0	1000.0	0.0	0.0	-1.83678359387	0.0	3.72428262381	14.9791397289	1.83678359387	0.300001674887	0.02	0.0300001674887	0.0	3.32923578242	1.86255521697	0.226343049115
3.5	0.369433435842	10.7679030496	0.180834187243	0.0331564777096	0.0	0.0	0.0	0.0	0.0	0.0524795312535	0.0	0.0	0.170731676347	0.0314536718045	0.0330950079735	0.0298546018523	0.0331564777096	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.9791336341	0.1	-1000.0	0.0	1000.0	0.0	0.0	-1.80834187243	0.0	3.69433435842	14.9791336341	1.80834187243	0.331564777096	0.02	0.0331564777096	0.0	3.28317013615	1.83678359387	0.223211207601
3.6	0.366124977856	10.7644211351	0.177695965621	0.0366448604864	0.0	0.0	0.0	0.0	0.0	0.0516669106408	0.0	0.0	0.16808797744	0.0347467776071	0.0365769016038	0.0329376669307	0.0366448604864	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.979126894	0.1	-1000.0	0.0	1000.0	0.0	0.0	-1.77695965621	0.0	3.66124977856	14.979126894	1.77695965621	0.366448604864	0.02	0.0366448604864	0.0	3.23233180616	1.80834187243	0.21975488808
3.7	0.362470243629	10.7605728948	0.174234098776	0.0405002520679	0.0	0.0	0.0	0.0	0.0	0.0507702758917	0.0	0.0	0.165170955314	0.038382427074	0.0404251164467	0.03633000057	0.0405002520679	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.9791194397	0.1	-1000.0	0.0	1000.0	0.0	0.0	-1.74234098776	0.0	3.62470243629	14.9791194397	1.74234098776	0.405002520679	0.02	0.0405002520679	0.0	3.1762374707	1.77695965621	0.215941231206
3.8	0.358433243541	10.7563197895	0.170416253794	0.044761263897	0.0	0.0	0.0	0.0	0.0	0.0497811710789	0.0	0.0	0.1619531003	0.042395654392	0.0446781905199	0.0400598518059	0.044761263897	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.9791111949	0.1	-1000.0	0.0	1000.0	0.0	0.0	-1.70416253794	0.0	3.58433243541	14.9791111949	1.70416253794	0.44761263897	0.02	0.044761263897	0.0	3.11435811877	1.74234098776	0.211734271379
3.9	0.353974315803	10.7516192263	0.166207190999	0.0494705690845	0.0	0.0	0.0	0.0	0.0	0.0486903582269	0.0	0.0	0.158404358489	0.0468249024174	0.0493787155423	0.0441570719184	0.0494705690845	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.9791020751	0.1	-1000.0	0.0	1000.0	0.0	0.0	-1.66207190999	0.0	3.53974315803	14.9791020751	1.66207190999	0.494705690845	0.02	0.0494705690845	0.0	3.04611581375	1.70416253794	0.207094716716
4.0	0.349049744551	10.7464241018	0.161568597284	0.0546753598359	0.0	0.0	0.0	0.0	0.0	0.0474877688568	0.0	0.0	0.154491974094	0.0517123251425	0.0545737934118	0.0486528030002	0.0546753598359	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.9790919865	0.1	-1000.0	0.0	1000.0	0.0	0.0	-1.61568597284	0.0	3.49049744551	14.9790919865	1.61568597284	0.546753598359	0.02	0.0546753598359	0.0	2.97088066183	1.66207190999	0.201979742951
